URL,SIZE,#OUTLINKS,CONTENT-TYPE
https://www.nytimes.com/2017/02/19/arts/music/junie-morrison-a-funk-mastermind-dies-at-62.html,79757,115,text/html
https://www.nytimes.com/2017/02/15/theater/grease-in-a-nairobi-high-school-saheem-ali-on-his-first-time-directing.html,81803,105,text/html
https://www.nytimes.com/2017/02/19/science/spacex-launch-kennedy-space-center.html,84636,111,text/html
http://www.nytimes.com/newsletters/morning-briefing,21463,27,text/html
https://www.nytimes.com/2017/02/16/theater/the-skin-of-our-teeth-thornton-wilder-trump.html,82203,107,text/html
https://www.nytimes.com/2017/02/17/realestate/multimillion-dollar-manhattan-panoramas.html,200745,117,text/html
https://www.nytimes.com/2017/02/19/books/philip-roth-plot-against-america.html,77792,101,text/html
https://www.nytimes.com/2017/02/17/dining/sheet-pan-dinner-pasta-bake-broccoli.html,80318,102,text/html
https://www.nytimes.com/2017/02/19/arts/television/the-walking-dead-rick-carol-daryl-jadis-season-7-episode-10-review.html,83445,106,text/html
https://www.nytimes.com/store/books/tbooks.html,62432,123,text/html
https://www.nytimes.com/saved,44011,84,text/html
https://www.nytimes.com/2017/02/20/fashion/magazines-british-vogue-alexandra-shulman.html,86703,118,text/html
https://www.nytimes.com/2017/01/25/us/politics/donald-trump-administration.html,118905,154,text/html
https://www.nytimes.com/2017/02/16/automobiles/autoreviews/video-review-the-honda-civic-is-back-as-a-hatchback.html,75554,103,text/html
https://www.nytimes.com/2017/02/18/arts/television/bill-maher-and-milo-yiannopoulos.html,76558,99,text/html
https://www.nytimes.com/2017/02/16/insider/the-times-in-the-schools-or-get-them-while-theyre-young.html,89655,118,text/html
https://www.nytimes.com/2017/02/19/business/energy-environment/oil-jobs-technology.html,229688,111,text/html
https://www.nytimes.com/2017/02/20/world/europe/pence-european-union-trump.html?rref=collection%2Fnewseventcollection%2FThe%20Trump%20White%20House,91044,119,text/html
https://www.nytimes.com/2017/02/18/style/kevin-durant-silicon-valley-golden-state-warriors.html,110596,135,text/html
https://www.nytimes.com/2017/02/20/us/politics/gorsuch-like-previous-supreme-court-nominees-keeps-views-hidden.html?rref=collection%2Fnewseventcollection%2FThe%20Trump%20White%20House,85578,110,text/html
https://www.nytimes.com/2017/02/14/magazine/will-obamacare-really-go-under-the-knife.html,129135,108,text/html
https://www.nytimes.com/2017/02/13/insider/manus-island-refugee-australia.html,86061,101,text/html
https://www.nytimes.com/2017/02/18/realestate/noise-complaint-a-loud-low-frequency-hum.html,94076,107,text/html
https://www.nytimes.com/2017/02/20/travel/car-free-vacations-in-american-cities.html,94055,129,text/html
https://www.nytimes.com/2017/02/16/business/dealbook/trump-tweets-stock-market-trading-bots.html,112097,110,text/html
https://www.nytimes.com/2017/02/20/briefing/mike-pence-mosul-jim-mattis.html,113515,138,text/html
https://www.nytimes.com/interactive/2016/12/07/insider/talk-to-the-times-monica-drake-travel.html,99742,44,text/html
http://www.nytimes.com/services/mobile/index.html,9436,15,text/html
https://www.nytimes.com/news-event/donald-trump-white-house,112384,122,text/html
https://www.nytimes.com/interactive/2017/02/17/insider/live-chat-live-chat-what-to-expect-from-the-oscars.html,31133,27,text/html
https://www.nytimes.com/2017/02/18/us/mar-a-lago-trump-ethics-winter-white-house.html,112865,136,text/html
https://www.nytimes.com/2017/02/20/us/border-wall-tribe.html,96930,100,text/html
https://www.nytimes.com/2017/02/07/insider/what-were-reading.html,75630,114,text/html
https://www.nytimes.com/2017/02/14/travel/pyeongchang-south-korea-skiing-2018-winter-olympics.html,104286,131,text/html
http://www.nytimes.com/pages/business/index.html,147979,159,text/html
https://www.nytimes.com/2017/02/19/business/pewdiepie-social-media-and-brands.html,86064,115,text/html
https://www.nytimes.com/section/t-magazine,173445,178,text/html
https://www.nytimes.com/2017/02/20/us/politics/cpac-milo-yiannopoulos.html?rref=collection%2Fnewseventcollection%2FThe%20Trump%20White%20House,74897,107,text/html
https://www.nytimes.com/2017/02/20/us/california-rain-floods.html,83477,118,text/html
https://www.nytimes.com/2017/02/20/upshot/wearable-fitness-devices-dont-seem-to-make-you-more-fit.html?hp&target=comments,83587,123,text/html
http://www.nytimes.com/interactive/blogs/directory.html,92611,134,text/html
https://www.nytimes.com/2017/02/19/arts/television/the-good-fight-series-premiere-season-1-episode-1-recap.html,75952,95,text/html
https://www.nytimes.com/2017/02/16/insider/good-bad-and-mad-andrew-rosenthal-on-the-news.html,71910,94,text/html
http://www.nytimes.com/slideshow/2017/02/20/t-magazine/fashion/womens-fashion-shows-topshop-unique-mulberry-mary-katrantzou-london-fashion-week/s/topshop-mulberry-katrantz-slide-LU5R.html,86462,33,text/html
https://www.nytimes.com/2017/02/19/theater/on-the-exhale-review.html,79809,107,text/html
https://www.nytimes.com/video,167308,77,text/html
https://www.nytimes.com/2017/02/20/world/europe/trump-pursues-his-attack-on-sweden-with-scant-evidence.html,92561,127,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8XKUR.html?campaignId=6L6JJ,33230,37,text/html
https://www.nytimes.com/column/insider-podcasts,110610,126,text/html
https://www.nytimes.com/section/travel,147576,155,text/html
http://www.nytimes.com/roomfordebate,49376,166,text/html
https://www.nytimes.com/video/arts,173483,72,text/html
https://www.nytimes.com/2017/02/17/insider/what-were-reading.html,77286,113,text/html
https://www.nytimes.com/2017/02/17/dining/pork-chops.html,74566,99,text/html
http://www.nytimes.com/marketing/tools-and-services/,19737,54,text/html
http://www.nytimes.com/real-estate/find-a-home,236311,170,text/html
https://www.nytimes.com/section/insider/events,127172,135,text/html
https://www.nytimes.com/video/the-daily-360,201194,70,text/html
https://www.nytimes.com/2017/02/06/insider/why-china-is-ripe-for-the-couch.html,80910,104,text/html
https://www.nytimes.com/2017/02/18/realestate/noise-complaint-a-loud-low-frequency-hum.html?hp&target=comments,94076,108,text/html
https://www.nytimes.com/section/arts,137654,155,text/html
https://www.nytimes.com/2017/02/19/realestate/the-convertible-tiny-apartment.html,102708,108,text/html
https://www.nytimes.com/2017/02/18/arts/music/clyde-stubblefield-dead.html,81480,111,text/html
https://www.nytimes.com/section/arts/dance,123097,137,text/html
https://www.nytimes.com/2017/02/16/automobiles/headlights-get-new-attention-as-more-than-a-car-design-flourish.html,80459,102,text/html
https://www.nytimes.com/2017/02/17/nyregion/columbia-grad-school-acceptance-letters.html,74970,108,text/html
https://www.nytimes.com/video/magazine/100000004919906/lincoln-in-the-bardo.html,133640,73,text/html
https://www.nytimes.com/section/magazine,134332,147,text/html
https://www.nytimes.com/video/national/100000004878671/rebuilding-a-highway-through-a-denver-community.html,201487,69,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/want-melania-trump-in-the-white-house-pay-her.html,78281,108,text/html
https://www.nytimes.com/2017/02/19/nyregion/retirement-medicinal-marijuana.html,100131,130,text/html
http://www.nytimes.com/ref/classifieds/,21045,60,text/html
https://www.nytimes.com/2017/02/17/upshot/trump-is-down-to-38-approval-how-much-does-it-mean.html,105099,119,text/html
http://www.nytimes.com/pages/todayspaper/index.html,167516,123,text/html
https://www.nytimes.com/2017/02/19/your-money/who-are-the-richest-of-the-rich.html,97472,112,text/html
https://www.nytimes.com/section/movies,157471,181,text/html
https://www.nytimes.com/2017/02/20/movies/writers-guild-awards-moonlight-arrival.html,69804,104,text/html
https://www.nytimes.com/2017/02/18/fashion/donald-trump-hillary-clinton-nasty-woman-social-media.html,91725,138,text/html
https://www.nytimes.com/spotlight/times-tips?contentCollection=smarter-living,138189,147,text/html
https://www.nytimes.com/2017/02/20/world/middleeast/talk-of-terror-listing-for-muslim-brotherhood-alarms-some-arab-allies.html,81198,107,text/html
https://www.nytimes.com/2017/02/20/sports/baseball/milwaukee-brewers-eric-thames-korea.html,78313,100,text/html
http://www.nytimes.com/subscriptions/Multiproduct/lp4371.html?campaignId=3937U,761,2,text/html
https://www.nytimes.com/2017/02/19/opinion/will-brazilians-cancel-carnival.html,76562,108,text/html
http://www.nytimes.com/pages/opinion/index.html,189578,334,text/html
https://www.nytimes.com/store/index.php/cell-wars-the-immune-system-fights-cancer.html,18455,30,text/html
https://www.nytimes.com/store/?action=click&contentCollection=NYT%20Store&contentPlacement=2&module=SectionsNav&pgtype=Homepage&region=TopBar&t=qry542&utm_campaign=NYT-HP&utm_content=hp_browsetree&utm_medium=HPB&utm_source=nytimes&version=BrowseTree,129980,172,text/html
https://www.nytimes.com/2017/02/19/us/politics/john-mccain-donald-trump-critic.html,93894,123,text/html
https://www.nytimes.com/2017/02/20/opinion/harry-and-sidney-soul-brothers.html,78356,108,text/html
https://www.nytimes.com/subscriptions/Multiproduct/lp8R34X.html?campaignId=6J6K8,23565,30,text/html
https://www.nytimes.com/2017/02/19/opinion/ryancare-you-can-pay-more-for-less.html,72547,107,text/html
https://www.nytimes.com/2017/02/19/business/uber-sexual-harassment-investigation.html,80533,110,text/html
https://www.nytimes.com/2017/02/20/fashion/ralph-lauren-restaurant-london.html,69030,101,text/html
https://www.nytimes.com/interactive/2017/02/16/insider/16-Insider-ANDYINTERACTIVE.html,28348,25,text/html
https://www.nytimes.com/section/fashion,201135,198,text/html
https://www.nytimes.com/2017/02/15/business/highway-traffic-safety.html,82692,105,text/html
http://www.nytimes.com/pages/topics/,25668,109,text/html
http://www.nytimes.com/newsletters/the-interpreter,21371,28,text/html
https://www.nytimes.com/2017/02/20/arts/in-a-walt-whitman-novel-lost-for-165-years-clues-to-leaves-of-grass.html,85133,106,text/html
http://www.nytimes.com/subscriptions/switch/lp8964W.html?campaignId=4W6QF,28846,18,text/html
https://www.nytimes.com/2017/02/20/world/europe/churkin-russia-ambassador-un-death.html,73573,101,text/html
https://www.nytimes.com/2017/02/20/business/media/coast-to-coast-am-george-noory.html,84229,106,text/html
https://www.nytimes.com/2017/02/20/opinion/why-donald-trump-doesnt-understand-black-life.html,73814,122,text/html
https://www.nytimes.com/2017/02/14/insider/texas-name-june-postcard.html,76709,95,text/html
https://www.nytimes.com/2017/02/20/opinion/on-economic-arrogance.html,77895,117,text/html
https://www.nytimes.com/2017/02/20/world/middleeast/jim-mattis-iraq-oil-trump.html,78623,104,text/html
https://www.nytimes.com/2017/02/20/opinion/trump-and-the-society-of-the-spectacle.html,81250,107,text/html
https://www.nytimes.com/2017/02/20/fashion/wrinkles-glopro-microneedling-beauty-device.html,91458,117,text/html
https://www.nytimes.com/2017/02/19/business/media/void-start-up-virtual-reality.html,100814,130,text/html
https://www.nytimes.com/2017/02/07/insider/or-so-it-seemed-notes-on-rewriting-the-super-bowl.html,79890,100,text/html
https://www.nytimes.com/2017/02/20/us/politics/cpac-milo-yiannopoulos.html,74897,106,text/html
https://www.nytimes.com/2017/02/19/nyregion/omar-abdel-rahman-memories-1993-world-trade-center-attack.html,87647,111,text/html
https://www.nytimes.com/pages/politics/index.html?src=hpHeader,119806,112,text/html
https://www.nytimes.com/2017/02/16/magazine/in-praise-of-the-prune.html,78745,106,text/html
https://www.nytimes.com/2016/09/18/business/energy-environment/the-standoff-between-big-oil-and-big-corn.html?rref=collection%2Fcolumn%2FRevalued,83373,112,text/html
https://www.nytimes.com/2017/02/20/world/asia/north-korea-assassination-kim-jong-un-brother-malaysia.html,87987,108,text/html
https://www.nytimes.com/interactive/2016/12/20/insider/events/frank-bruni-and-gail-collins-the-next-four-years-with-donald-trump.html,156204,30,text/html
https://www.nytimes.com/2017/02/19/us/politics/donald-trump-ukraine-russia.html?hp&target=comments,110943,131,text/html
https://www.nytimes.com/2017/02/20/insider/political-drama-at-this-years-oscars-yes-very-likely.html,81488,106,text/html
https://www.nytimes.com/2016/10/09/business/selling-shampoo-eye-cream-and-a-chemical-crackdown.html?rref=collection%2Fcolumn%2FRevalued,84077,105,text/html
https://www.nytimes.com/2017/02/17/realestate/home-politics-resistance.html,121039,129,text/html
https://www.nytimes.com/interactive/2017/01/10/insider/events/will-shortz-meet-the-puzzle-master.html,114422,29,text/html
https://www.nytimes.com/2017/02/19/us/politics/donald-trump-ukraine-russia.html,110943,130,text/html
https://www.nytimes.com/2017/02/20/nyregion/joe-piscopo-new-jersey-governor.html,81583,104,text/html
https://www.nytimes.com/2016/12/03/business/inner-peace-in-the-palm-of-your-hand-for-a-price.html?rref=collection%2Fcolumn%2FRevalued,85127,107,text/html
https://www.nytimes.com/by/david-gelles,116363,124,text/html
https://www.nytimes.com/2017/02/16/magazine/the-dirty-projectors-go-solo.html,97877,105,text/html
https://www.nytimes.com/interactive/2017/02/10/insider/insider-newsletter-poll-7.html,95834,27,text/html
https://www.nytimes.com/2017/02/20/well/the-worst-that-could-happen-going-blind-people-say.html,85265,111,text/html
http://www.nytimes.com/pages/multimedia/index.html,188939,247,text/html
https://www.nytimes.com/2016/10/30/business/an-activist-for-the-poor-joins-pepsis-board-is-that-ethical.html?rref=collection%2Fcolumn%2FRevalued,84325,115,text/html
https://www.nytimes.com/video/opinion,256811,71,text/html
https://www.nytimes.com/2016/12/21/insider/events/sam-sifton-and-tejal-rao-how-the-times-covers-food.html,69121,97,text/html
https://www.nytimes.com/column/revalued,111188,122,text/html
https://www.nytimes.com/pages/dining/index.html,199921,275,text/html
https://www.nytimes.com/2017/01/13/business/veggie-burger-impossible-burger.html?rref=collection%2Fcolumn%2FRevalued,94255,117,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/our-putin.html,80856,108,text/html
https://www.nytimes.com/subscriptions/switch/lp8964W.html?campaignId=4W6QJ,28846,18,text/html
https://www.nytimes.com/2017/02/20/world/asia/rodrigo-duterte-philippines-death-squad.html,90807,114,text/html
https://www.nytimes.com/2017/02/19/us/michael-novak-dead-catholic-scholar.html,78738,110,text/html
https://www.nytimes.com/interactive/2017/02/16/us/politics/document-The-New-Obamacare-Replacement-Template.html,28348,26,text/html
https://www.nytimes.com/2017/02/20/world/africa/south-sudan-famine.html,77007,105,text/html
https://www.nytimes.com/section/world,229195,217,text/html
https://www.nytimes.com/section/upshot,137126,143,text/html
https://www.nytimes.com/2017/02/19/nyregion/retirement-medicinal-marijuana.html?hp&target=comments,100131,131,text/html
https://www.nytimes.com/2017/02/17/insider/my-weekend-at-mar-a-lago-reporters-notebook.html,74328,98,text/html
https://www.nytimes.com/2017/02/14/books/review/dark-flood-rises-margaret-drabble-.html,77107,95,text/html
