URL_SUCCESS,SIZE,#OUTLINKS,CONTENT-TYPE
https://www.nytimes.com/2017/02/17/nyregion/pets-of-homeless-guardians-of-rescue.html,84434,107,text/html
https://www.nytimes.com/2017/02/16/magazine/youtubes-monster-pewdiepie-and-his-populist-revolt.html,82802,102,text/html
https://www.nytimes.com/content/help/rights/terms/terms-of-service.html,27899,26,text/html
https://www.nytimes.com/2017/02/16/books/review/george-saunders-by-the-book.html,81653,102,text/html
https://www.nytimes.com/2017/02/17/insider/my-weekend-at-mar-a-lago-reporters-notebook.html,74344,98,text/html
https://www.nytimes.com/content/help/site/ie9-support.html,9011,23,text/html
https://www.nytimes.com/2017/02/16/theater/the-skin-of-our-teeth-thornton-wilder-trump.html,82203,107,text/html
https://www.nytimes.com/2017/02/16/automobiles/autoreviews/video-review-the-honda-civic-is-back-as-a-hatchback.html,75554,103,text/html
https://www.nytimes.com/section/arts/design,136906,149,text/html
https://www.nytimes.com/2017/02/13/us/ole-miss-liberal-agitators-education-university-mississippi.html,92933,112,text/html
https://www.nytimes.com/2017/02/17/dining/barcelona-enigma-adria-el-bulli.html,77279,98,text/html
https://www.nytimes.com/video/opinion/100000004882544/broken-the-womens-prison-at-hoheneck.html?playlistId=100000004867895,133333,65,text/html
https://www.nytimes.com/2017/02/17/nyregion/bill-de-blasio-state-of-the-city-address.html,77500,106,text/html
https://www.nytimes.com/2017/02/19/nyregion/first-a-mistaken-burial-as-a-pauper-then-the-indignities-piled-up.html,84391,104,text/html
https://www.nytimes.com/by/maureen-dowd,116798,125,text/html
https://www.nytimes.com/2017/02/16/movies/a-cure-for-wellness-review.html,79294,101,text/html
https://www.nytimes.com/section/insider,146968,156,text/html
https://www.nytimes.com/2017/02/18/world/europe/russia-tainted-booze-putin.html,93807,109,text/html
https://www.nytimes.com/section/movies,156952,181,text/html
https://www.nytimes.com/interactive/2017/02/17/insider/insider-newsletter-poll-8.html,94039,27,text/html
https://www.nytimes.com/2017/02/18/style/kevin-durant-silicon-valley-golden-state-warriors.html,110405,135,text/html
https://www.nytimes.com/video/opinion/100000004798478/alone.html?playlistId=100000004867895,132784,65,text/html
https://www.nytimes.com/2017/01/28/opinion/sunday/wild-child-takes-charge.html?rref=collection%2Fcolumn%2FMaureen%20Dowd,80044,113,text/html
http://www.nytimes.com/recommendations,34844,68,text/html
https://www.nytimes.com/2017/02/17/science/santiago-ramon-y-cajal-beautiful-brain.html,78073,112,text/html
https://www.nytimes.com/2017/02/19/world/europe/last-night-in-sweden-trumps-remark-baffles-a-nation.html,82809,113,text/html
https://www.nytimes.com/2017/02/18/us/politics/trump-conservative-ideology.html,86615,109,text/html
https://www.nytimes.com/video/opinion/100000004882589/ten-meter-tower.html,173331,71,text/html
https://www.nytimes.com/interactive/2017/02/17/insider/live-chat-live-chat-what-to-expect-from-the-oscars.html,31133,27,text/html
https://www.nytimes.com/interactive/2017/02/16/travel/what-to-do-36-hours-in-san-diego-california.html,122758,61,text/html
https://www.nytimes.com/2017/02/18/arts/television/golden-girls-cafe-opens-in-washington-heights.html,83845,100,text/html
https://www.nytimes.com/2017/02/17/arts/grammys-television-gaga-beyonce.html,88463,118,text/html
https://www.nytimes.com/video/realestate/100000004902843/360-tiny-apartment-manhattan-custom.html,202087,69,text/html
https://www.nytimes.com/section/t-magazine,173594,179,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/donald-trump-will-leave-you-numb.html,80647,111,text/html
https://www.nytimes.com/2017/02/15/movies/hugh-jackman-x-men-logan-wolverine.html,84580,109,text/html
https://www.nytimes.com/content/help/rights/sale/terms-of-sale.html,23075,34,text/html
https://www.nytimes.com/2017/02/19/world/asia/malaysia-killing-of-kim-jong-nam.html,84483,108,text/html
https://www.nytimes.com/2017/01/07/opinion/sunday/white-house-red-scare.html?rref=collection%2Fcolumn%2FMaureen%20Dowd,80413,113,text/html
https://www.nytimes.com/2017/02/16/science/seagrass-coral-reefs-pathogens-global-warming.html,98850,116,text/html
https://www.nytimes.com/column/maureen-dowd,107404,123,text/html
http://www.nytimes.com/crosswords/index.html,25112,33,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/first-sex-ed-then-death-ed.html,75264,100,text/html
https://www.nytimes.com/section/travel,147435,155,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/how-can-we-get-rid-of-trump.html,86998,124,text/html
https://www.nytimes.com/video/the-daily-360,201891,70,text/html
https://www.nytimes.com/2017/02/18/opinion/sunday/beltway-panic-wall-street-zen.html,78429,113,text/html
https://www.nytimes.com/pages/politics/index.html,123186,112,text/html
https://www.nytimes.com/video/world/europe/100000004942673/last-night-in-sweden.html,193142,82,text/html
https://www.nytimes.com/2017/02/19/science/spacex-launch-kennedy-space-center.html,83811,108,text/html
https://www.nytimes.com/section/science,152490,160,text/html
https://www.nytimes.com/2017/02/18/us/politics/fact-check-trump-florida-rally.html,75125,107,text/html
http://www.nytimes.com/pages/todayspaper/index.html,256599,254,text/html
http://www.nytimes.com/newsletters/sample/opinion-today?contentId=TY&eventName=sample&module=newsletter-sign-up&pgtype=subscriptionspage&version=new,120337,124,text/html
https://www.nytimes.com/2017/02/18/us/politics/donald-trump-rally-melbourne-florida.html,87857,114,text/html
https://www.nytimes.com/section/nyregion,138769,145,text/html
https://www.nytimes.com/video/opinion/100000004868710/birth-place.html?playlistId=100000004867895,132850,65,text/html
https://www.nytimes.com/2017/02/11/opinion/sunday/trumps-gold-lining.html?rref=collection%2Fcolumn%2FMaureen%20Dowd,80459,114,text/html
https://www.nytimes.com/2017/02/19/sports/hockey/los-angeles-kings-quick-budaj.html,79358,103,text/html
http://www.nytimes.com/pages/business/index.html,153507,160,text/html
https://www.nytimes.com/section/magazine,133709,147,text/html
https://www.nytimes.com/2017/02/16/movies/jordan-peele-interview-get-out.html,85889,108,text/html
https://www.nytimes.com/2017/02/17/realestate/multimillion-dollar-manhattan-panoramas.html,200745,117,text/html
https://www.nytimes.com/2017/02/14/insider/texas-name-june-postcard.html,76725,95,text/html
https://www.nytimes.com/saved,44011,84,text/html
https://www.nytimes.com/2017/01/14/opinion/sunday/judd-apatow-freaking-out-over-donald-trump.html?rref=collection%2Fcolumn%2FMaureen%20Dowd,82382,117,text/html
https://www.nytimes.com/2017/02/14/travel/pyeongchang-south-korea-skiing-2018-winter-olympics.html,104305,131,text/html
https://www.nytimes.com/video/opinion/100000004882589/ten-meter-tower.html?playlistId=100000003465294,173331,71,text/html
https://www.nytimes.com/2017/02/04/opinion/sunday/free-melania-from-our-expectations.html?rref=collection%2Fcolumn%2FMaureen%20Dowd,81161,115,text/html
https://www.nytimes.com/2015/08/02/education/edlife/how-to-live-wisely.html,87245,111,text/html
https://www.nytimes.com/video/t-magazine/fashion/100000004941724/new-york-fashion-week-in-60-seconds-fall-winter-2017.html,178935,71,text/html
https://www.nytimes.com/2017/02/19/t-magazine/simone-rocha-london-fashion-week-beauty.html,65919,95,text/html
https://www.nytimes.com/2017/02/17/realestate/home-politics-resistance.html,121039,129,text/html
https://www.nytimes.com/2017/02/16/dining/wine-review-pinot-noir-sonoma-coast.html,88144,115,text/html
http://www.nytimes.com/learning/general/onthisday/bday/1202.html,30160,42,text/html
https://www.nytimes.com/2017/02/19/business/energy-environment/oil-jobs-technology.html,228994,108,text/html
https://www.nytimes.com/by/elisabetta-povoledo,113022,124,text/html
https://www.nytimes.com/2017/02/15/magazine/the-compost-king-of-new-york.html,96535,100,text/html
https://www.nytimes.com/2017/02/18/us/mar-a-lago-trump-ethics-winter-white-house.html,112189,135,text/html
https://www.nytimes.com/2017/02/18/world/middleeast/omar-abdel-rahman-dead.html,79258,101,text/html
https://www.nytimes.com/2017/02/17/upshot/why-trumps-2-for-1-rule-on-regulations-is-no-quick-fix.html,92634,122,text/html
https://www.nytimes.com/2017/02/14/magazine/will-obamacare-really-go-under-the-knife.html,129135,108,text/html
http://www.nytimes.com/pages/education/edlife/index.html,105965,86,text/html
http://www.nytimes.com/services/mobile/index.html,9436,15,text/html
https://www.nytimes.com/2017/02/19/us/alabama-senate-pick-corruption-questions.html,86637,102,text/html
https://www.nytimes.com/video/opinion/100000004674545/41-miles.html,193471,72,text/html
https://www.nytimes.com/video/us/politics/100000004942048/trump-attacks-the-media-at-rally.html,211526,86,text/html
https://www.nytimes.com/2017/02/17/insider/what-were-reading.html,77220,113,text/html
https://www.nytimes.com/2017/02/16/arts/design/an-export-from-sweden-art-treasures-collected-abroad.html,74594,101,text/html
http://www.nytimes.com/2002/11/13/news/hint-of-castrating-islamic-radicals-gets-lost-in-translation-putins.html,68149,90,text/html
https://www.nytimes.com/2017/02/14/us/politics/russia-intelligence-communications-trump.html,103848,128,text/html
https://www.nytimes.com/video/arts,173594,72,text/html
https://www.nytimes.com/2017/02/18/arts/television/bill-maher-and-milo-yiannopoulos.html,76590,99,text/html
https://www.nytimes.com/video/world/asia/100000004942818/north-korea-is-accused-of-killing-leaders-half-brother.html,199532,78,text/html
http://www.nytimes.com/2002/11/13/world/why-putin-boils-over-chechnya-is-his-personal-war.html,72327,90,text/html
https://www.nytimes.com/2017/02/18/arts/music/clyde-stubblefield-dead.html,77783,104,text/html
https://www.nytimes.com/pages/dining/index.html,201769,271,text/html
https://www.nytimes.com/video/opinion/100000004431936/the-shampoo-summit.html,247138,107,text/html
